;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
323;Colares (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
324;Conceição do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
325;Concórdia do Pará (PA);0;0;0;0;0;30.0;115.0;105.0;115.0;115.0;115.0;240.0;270.0;270.0;270.0;270.0;270.0;270.0;370.0;270.0;290.0;Cocoa;161.1904761904762
326;Cumaru do Norte (PA);540.0;540.0;540.0;540.0;540.0;540.0;540.0;350.0;350.0;350.0;350.0;50.0;50.0;70.0;70.0;100.0;15.0;20.0;30.0;55.0;55.0;Cocoa;271.1904761904762
327;Curionópolis (PA);0;0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;0;0;0;0;0;0;Cocoa;24.761904761904763
328;Curralinho (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
329;Curuá (PA);0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;20.952380952380953
330;Curuçá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
331;Dom Eliseu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
332;Eldorado do Carajás (PA);0;0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;200.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;Cocoa;150.47619047619048
333;Faro (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
334;Floresta do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
335;Garrafão do Norte (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
336;Goianésia do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
337;Gurupá (PA);81.0;82.0;82.0;80.0;80.0;80.0;80.0;80.0;50.0;50.0;85.0;60.0;60.0;50.0;50.0;60.0;70.0;70.0;0;70.0;70.0;Cocoa;66.19047619047619
338;Igarapé-Açu (PA);30.0;30.0;59.0;59.0;59.0;59.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;14.095238095238095
339;Igarapé-Miri (PA);265.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;124.0;124.0;130.0;208.0;208.0;208.0;208.0;208.0;458.0;500.0;Cocoa;149.57142857142858
340;Inhangapi (PA);17.0;11.0;11.0;18.0;18.0;18.0;18.0;18.0;41.0;41.0;41.0;41.0;41.0;40.0;45.0;45.0;45.0;75.0;100.0;80.0;0;Cocoa;36.38095238095238
341;Ipixuna do Pará (PA);8.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.6666666666666666
342;Irituia (PA);0;0;0;0;0;0;0;0;0;0.0;0;0.0;1.0;2.0;2.0;2.0;2.0;2.0;4.0;8.0;2.0;Cocoa;1.1904761904761905
343;Itaituba (PA);145.0;155.0;155.0;190.0;133.0;133.0;101.0;101.0;101.0;101.0;100.0;101.0;269.0;150.0;220.0;220.0;260.0;220.0;300.0;200.0;354.0;Cocoa;176.61904761904762
344;Itupiranga (PA);190.0;100.0;100.0;100.0;100.0;100.0;210.0;230.0;210.0;210.0;210.0;210.0;210.0;150.0;150.0;150.0;150.0;150.0;150.0;100.0;100.0;Cocoa;156.1904761904762
345;Jacareacanga (PA);2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;Cocoa;2.0
346;Jacundá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
347;Juruti (PA);10.0;10.0;12.0;12.0;14.0;11.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;3.2857142857142856
348;Limoeiro do Ajuru (PA);240.0;61.0;61.0;61.0;61.0;61.0;60.0;60.0;60.0;60.0;60.0;60.0;62.0;60.0;60.0;60.0;70.0;70.0;70.0;55.0;70.0;Cocoa;70.57142857142857
349;Mãe do Rio (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
350;Magalhães Barata (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
351;Marabá (PA);50.0;50.0;50.0;50.0;100.0;100.0;130.0;130.0;130.0;130.0;130.0;130.0;130.0;90.0;90.0;90.0;0;0;0;0;0;Cocoa;75.23809523809524
352;Maracanã (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
353;Marapanim (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
354;Marituba (PA);;0;0;0;0;;;;;0;;;;;;;;;;;0;Cocoa;0.0
355;Medicilândia (PA);10882.0;10882.0;10535.0;10304.0;10304.0;10305.0;13637.0;13637.0;13165.0;14160.0;17395.0;18930.0;20752.0;21145.0;22467.0;23897.0;26620.0;36713.0;36713.0;38569.0;38569.0;Cocoa;19980.04761904762
356;Melgaço (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.0;Cocoa;0.47619047619047616
357;Mocajuba (PA);100.0;986.0;1105.0;1105.0;1105.0;1105.0;1105.0;1105.0;1105.0;1105.0;1105.0;1105.0;1105.0;1100.0;1105.0;1105.0;1125.0;1125.0;1125.0;1200.0;1125.0;Cocoa;1059.5714285714287
358;Moju (PA);115.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;80.0;80.0;Cocoa;52.142857142857146
359;Mojuí dos Campos (PA);;;;;;;;;;;;;;;;;0;0;0;0;0;Cocoa;0.0
360;Monte Alegre (PA);20.0;49.0;21.0;21.0;52.0;68.0;68.0;68.0;68.0;12.0;12.0;12.0;12.0;15.0;15.0;43.0;43.0;63.0;123.0;111.0;111.0;Cocoa;47.95238095238095
361;Muaná (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.0;30.0;30.0;Cocoa;3.3333333333333335
362;Nova Esperança do Piriá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
363;Nova Ipixuna (PA);10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.0;6.0;Cocoa;1.0476190476190477
364;Nova Timboteua (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
365;Novo Progresso (PA);10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;Cocoa;10.0
366;Novo Repartimento (PA);314.0;314.0;207.0;275.0;275.0;275.0;2580.0;2580.0;2580.0;2900.0;2900.0;2900.0;4000.0;7618.0;8000.0;8000.0;8000.0;9000.0;10000.0;10731.0;10000.0;Cocoa;4449.952380952381
367;Óbidos (PA);48.0;48.0;48.0;48.0;35.0;35.0;35.0;35.0;35.0;25.0;20.0;25.0;25.0;17.0;20.0;20.0;3.0;0;0;0;0;Cocoa;24.857142857142858
368;Oeiras do Pará (PA);35.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;45.0;45.0;45.0;45.0;50.0;50.0;50.0;50.0;50.0;50.0;200.0;100.0;120.0;Cocoa;54.523809523809526
369;Oriximiná (PA);6.0;6.0;6.0;6.0;3.0;3.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;1.7142857142857142
370;Ourém (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
371;Ourilândia do Norte (PA);49.0;49.0;49.0;49.0;25.0;41.0;41.0;41.0;41.0;338.0;418.0;300.0;300.0;1527.0;300.0;300.0;348.0;410.0;420.0;420.0;420.0;Cocoa;280.2857142857143
372;Pacajá (PA);5400.0;5400.0;1540.0;1610.0;1640.0;1640.0;2130.0;2296.0;2296.0;1770.0;4312.0;4310.0;2085.0;2085.0;2085.0;2330.0;3565.0;3858.0;3858.0;4199.0;4199.0;Cocoa;2981.3333333333335
373;Palestina do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
374;Paragominas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
375;Parauapebas (PA);60.0;60.0;60.0;60.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;90.0;90.0;90.0;90.0;90.0;90.0;Cocoa;79.04761904761905
376;Pau D'Arco (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
377;Peixe-Boi (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
378;Piçarra (PA);615.0;0;0;0;411.0;411.0;411.0;411.0;254.0;254.0;254.0;254.0;254.0;254.0;254.0;254.0;274.0;274.0;200.0;274.0;0;Cocoa;253.0
379;Placas (PA);2455.0;2455.0;2455.0;1717.0;1717.0;1721.0;1737.0;1737.0;3329.0;3329.0;3329.0;3329.0;5027.0;6700.0;6700.0;7000.0;7400.0;7400.0;9843.0;9843.0;9843.0;Cocoa;4717.428571428572
380;Ponta de Pedras (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
381;Portel (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
382;Porto de Moz (PA);9.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;12.0;12.0;12.0;10.0;12.0;12.0;Cocoa;10.428571428571429
383;Prainha (PA);2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;25.0;30.0;40.0;40.0;40.0;0;40.0;40.0;Cocoa;13.380952380952381
384;Primavera (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
385;Quatipuru (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
386;Redenção (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
387;Rio Maria (PA);95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;95.0;55.0;55.0;55.0;25.0;0;30.0;Cocoa;78.33333333333333
388;Rondon do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
389;Rurópolis (PA);490.0;495.0;495.0;459.0;464.0;490.0;516.0;516.0;552.0;552.0;552.0;552.0;552.0;1225.0;851.0;911.0;911.0;1600.0;1600.0;1299.0;2130.0;Cocoa;819.6190476190476
390;Salinópolis (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
391;Salvaterra (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
392;Santa Bárbara do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
393;Santa Izabel do Pará (PA);129.0;129.0;129.0;129.0;129.0;0;0;0;0;0;0;0;0;0;175.0;180.0;0;0;0;0;388.0;Cocoa;66.0952380952381
394;Santa Luzia do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
395;Santa Maria das Barreiras (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
396;Santa Maria do Pará (PA);0;15.0;6.0;6.0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;1.5714285714285714
397;Santana do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
398;Santarém (PA);7.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;45.0;45.0;151.0;151.0;Cocoa;22.80952380952381
399;Santarém Novo (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
400;Santo Antônio do Tauá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.0
401;São Caetano de Odivelas (PA);2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Cocoa;0.09523809523809523
402;São Domingos do Araguaia (PA);10.0;10.0;10.0;10.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;20.0;30.0;30.0;30.0;Cocoa;19.523809523809526
403;São Domingos do Capim (PA);45.0;45.0;45.0;45.0;45.0;45.0;45.0;45.0;45.0;45.0;200.0;200.0;200.0;200.0;200.0;200.0;250.0;250.0;300.0;270.0;250.0;Cocoa;141.42857142857142
