;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
473;Curuçá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65.0;65.0;80.0;90.0;65.0;Palm oil;17.38095238095238
474;Dom Eliseu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
475;Eldorado do Carajás (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
476;Faro (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
477;Floresta do Araguaia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
478;Garrafão do Norte (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;905.0;2000.0;Palm oil;138.33333333333334
479;Goianésia do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
480;Gurupá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
481;Igarapé-Açu (PA);1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;4200.0;4200.0;4200.0;4200.0;4200.0;5300.0;5100.0;4200.0;Palm oil;2957.1428571428573
482;Igarapé-Miri (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
483;Inhangapi (PA);16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;16.0;0;0;0;0;0;0;Palm oil;11.428571428571429
484;Ipixuna do Pará (PA);1800.0;2000.0;2500.0;2650.0;2400.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;540.4761904761905
485;Irituia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;850.0;1547.0;1547.0;Palm oil;187.8095238095238
486;Itaituba (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
487;Itupiranga (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
488;Jacareacanga (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Palm oil;0.0
