;city_code;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;product;mean
1046;Dom Eliseu (PA);0;0;0;0;0;150.0;1250.0;2000.0;4000.0;5000.0;5000.0;7000.0;7300.0;9000.0;13800.0;20000.0;32000.0;32000.0;70000.0;70000.0;84000.0;Soy;17261.904761904763
1047;Eldorado do Carajás (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1048;Faro (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1049;Floresta do Araguaia (PA);0;0;0;0;200.0;0;1200.0;1200.0;1650.0;1700.0;1700.0;1700.0;1400.0;500.0;800.0;950.0;1200.0;1250.0;2500.0;3500.0;3808.0;Soy;1202.7619047619048
1050;Garrafão do Norte (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1051;Goianésia do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150.0;Soy;7.142857142857143
1052;Gurupá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1053;Igarapé-Açu (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1054;Igarapé-Miri (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1055;Inhangapi (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1056;Ipixuna do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;700.0;840.0;Soy;73.33333333333333
1057;Irituia (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1058;Itaituba (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1059;Itupiranga (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1060;Jacareacanga (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1061;Jacundá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1062;Juruti (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1063;Limoeiro do Ajuru (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1064;Mãe do Rio (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1065;Magalhães Barata (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1066;Marabá (PA);0;0;0;0;0;0;0;30.0;0;30.0;0;0;0;0;0;0;500.0;500.0;0;500.0;500.0;Soy;98.0952380952381
1067;Maracanã (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1068;Marapanim (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1069;Marituba (PA);;0;0;0;0;;;;;0;;;;;;;;;;;0;Soy;0.0
1070;Medicilândia (PA);0;0;0;0;0;0;0;0;0;120.0;0;0;0;0;0;0;0;0;55.0;0;0;Soy;8.333333333333334
1071;Melgaço (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1072;Mocajuba (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1073;Moju (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1074;Mojuí dos Campos (PA);;;;;;;;;;;;;;;;;7069.0;12300.0;12300.0;12300.0;23500.0;Soy;13493.8
1075;Monte Alegre (PA);0;0;0;0;0;0;0;100.0;100.0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;9.523809523809524
1076;Muaná (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1077;Nova Esperança do Piriá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1078;Nova Ipixuna (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1079;Nova Timboteua (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1080;Novo Progresso (PA);0;0;0;0;0;0;0;20.0;250.0;1000.0;1000.0;1000.0;1000.0;0;0;1000.0;1000.0;1000.0;2000.0;16000.0;17000.0;Soy;2012.857142857143
1081;Novo Repartimento (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1082;Óbidos (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1083;Oeiras do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1084;Oriximiná (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1085;Ourém (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1086;Ourilândia do Norte (PA);0;0;0;0;0;0;0;0;0;0;25.0;0;0;0;0;0;0;0;0;0;0;Soy;1.1904761904761905
1087;Pacajá (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1088;Palestina do Pará (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soy;0.0
1089;Paragominas (PA);325.0;920.0;500.0;1540.0;280.0;1120.0;3000.0;3259.0;6990.0;10000.0;6000.0;11720.0;14200.0;26600.0;37348.0;35354.0;42000.0;42000.0;95000.0;102163.0;122035.0;Soy;26778.761904761905
1090;Parauapebas (PA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600.0;600.0;600.0;600.0;600.0;Soy;142.85714285714286
